layer,trial_index,tile_size,execution_time
layer_5,95,"[[25, [49, 1, 1, 1, 1]], [27, [1, 1, 1, 4, 2]], [29, [24, 1, 3]], [56, 1], [62, 3], [68, 1], [95, 1]]",[0.0003078510963391137]
layer_5,96,"[[25, [49, 1, 1, 1, 1]], [27, [2, 2, 1, 2, 1]], [29, [18, 1, 4]], [56, 1], [62, 3], [68, 1], [95, 4]]",[2.9910463562330344e-05]
layer_5,97,"[[25, [7, 7, 1, 1, 1]], [27, [1, 1, 8, 1, 1]], [29, [12, 2, 3]], [56, 1], [62, 3], [68, 1], [95, 0]]",[7.87868217721519e-05]
layer_5,98,"[[25, [49, 1, 1, 1, 1]], [27, [1, 4, 1, 1, 2]], [29, [6, 6, 2]], [56, 0], [62, 2], [68, 0], [95, 1]]",[0.00011879048063241107]
layer_5,99,"[[25, [7, 1, 7, 1, 1]], [27, [2, 1, 2, 2, 1]], [29, [18, 4, 1]], [56, 0], [62, 3], [68, 1], [95, 0]]",[6.033636654515998e-05]
layer_5,100,"[[25, [1, 49, 1, 1, 1]], [27, [1, 4, 1, 2, 1]], [29, [18, 1, 4]], [56, 1], [62, 0], [68, 0], [95, 4]]",[8.157837816030123e-05]
layer_5,101,"[[25, [7, 1, 1, 7, 1]], [27, [2, 1, 4, 1, 1]], [29, [18, 4, 1]], [56, 2], [62, 1], [68, 2], [95, 3]]",[3.509942760942761e-05]
layer_5,102,"[[25, [1, 7, 7, 1, 1]], [27, [4, 1, 1, 1, 2]], [29, [12, 2, 3]], [56, 0], [62, 0], [68, 2], [95, 1]]",[8.213943960826985e-05]
layer_5,103,"[[25, [49, 1, 1, 1, 1]], [27, [2, 1, 2, 2, 1]], [29, [12, 3, 2]], [56, 0], [62, 3], [68, 2], [95, 2]]",[2.970660022026432e-05]
layer_5,104,"[[25, [1, 7, 7, 1, 1]], [27, [2, 1, 1, 4, 1]], [29, [12, 2, 3]], [56, 0], [62, 2], [68, 2], [95, 4]]",[3.391661447811448e-05]
layer_5,105,"[[25, [7, 1, 1, 7, 1]], [27, [2, 2, 1, 2, 1]], [29, [12, 6, 1]], [56, 1], [62, 2], [68, 2], [95, 0]]",[0.00043960432044198893]
layer_5,106,"[[25, [7, 7, 1, 1, 1]], [27, [1, 1, 1, 8, 1]], [29, [12, 2, 3]], [56, 1], [62, 3], [68, 1], [95, 0]]",[0.00022979782969432313]
layer_5,107,"[[25, [1, 7, 7, 1, 1]], [27, [8, 1, 1, 1, 1]], [29, [12, 2, 3]], [56, 1], [62, 2], [68, 1], [95, 4]]",[2.6923421684376226e-05]
layer_5,108,"[[25, [1, 7, 7, 1, 1]], [27, [2, 1, 1, 2, 2]], [29, [12, 2, 3]], [56, 0], [62, 2], [68, 2], [95, 4]]",[3.3914097013142177e-05]
layer_5,109,"[[25, [7, 1, 1, 7, 1]], [27, [4, 2, 1, 1, 1]], [29, [12, 6, 1]], [56, 0], [62, 1], [68, 0], [95, 2]]",[0.0004583089656160458]
layer_5,110,"[[25, [7, 7, 1, 1, 1]], [27, [8, 1, 1, 1, 1]], [29, [12, 2, 3]], [56, 1], [62, 2], [68, 1], [95, 0]]",[9.39083583384997e-05]
layer_5,111,"[[25, [7, 7, 1, 1, 1]], [27, [2, 1, 1, 4, 1]], [29, [24, 1, 3]], [56, 2], [62, 2], [68, 2], [95, 1]]",[9.578024841972187e-05]
layer_5,112,"[[25, [1, 49, 1, 1, 1]], [27, [1, 1, 1, 4, 2]], [29, [18, 1, 4]], [56, 0], [62, 3], [68, 2], [95, 2]]",[3.4371725108225105e-05]
layer_5,113,"[[25, [7, 1, 7, 1, 1]], [27, [1, 2, 4, 1, 1]], [29, [18, 4, 1]], [56, 0], [62, 1], [68, 0], [95, 0]]",[3.681018814775445e-05]
layer_5,114,"[[25, [1, 7, 1, 7, 1]], [27, [8, 1, 1, 1, 1]], [29, [12, 3, 2]], [56, 0], [62, 3], [68, 1], [95, 1]]",[0.0004265874826666667]
layer_5,115,"[[25, [7, 7, 1, 1, 1]], [27, [2, 2, 1, 1, 2]], [29, [18, 4, 1]], [56, 2], [62, 2], [68, 1], [95, 1]]",[5.522720961820852e-05]
layer_5,116,"[[25, [7, 1, 1, 7, 1]], [27, [2, 1, 4, 1, 1]], [29, [18, 4, 1]], [56, 0], [62, 3], [68, 2], [95, 3]]",[3.079094660194175e-05]
layer_5,117,"[[25, [1, 49, 1, 1, 1]], [27, [1, 2, 1, 2, 2]], [29, [4, 18, 1]], [56, 2], [62, 3], [68, 1], [95, 4]]",[6.269508031427325e-05]
layer_5,118,"[[25, [7, 7, 1, 1, 1]], [27, [2, 2, 2, 1, 1]], [29, [18, 2, 2]], [56, 0], [62, 2], [68, 3], [95, 3]]",[1.5929477176220804e-05]
layer_5,119,"[[25, [49, 1, 1, 1, 1]], [27, [1, 2, 2, 2, 1]], [29, [72, 1, 1]], [56, 1], [62, 1], [68, 0], [95, 1]]",[7.18903368121442e-05]
layer_5,120,"[[25, [49, 1, 1, 1, 1]], [27, [8, 1, 1, 1, 1]], [29, [36, 2, 1]], [56, 2], [62, 2], [68, 0], [95, 2]]",[1.711812913863606e-05]
layer_5,121,"[[25, [1, 7, 7, 1, 1]], [27, [2, 2, 1, 2, 1]], [29, [18, 4, 1]], [56, 2], [62, 3], [68, 3], [95, 0]]",[2.8751838193600648e-05]
layer_5,122,"[[25, [7, 1, 7, 1, 1]], [27, [2, 1, 4, 1, 1]], [29, [12, 2, 3]], [56, 1], [62, 0], [68, 0], [95, 1]]",[2.4364957469431155e-05]
layer_5,123,"[[25, [49, 1, 1, 1, 1]], [27, [4, 2, 1, 1, 1]], [29, [12, 3, 2]], [56, 0], [62, 2], [68, 3], [95, 1]]",[10000000000]
layer_5,124,"[[25, [7, 7, 1, 1, 1]], [27, [1, 4, 2, 1, 1]], [29, [24, 1, 3]], [56, 0], [62, 3], [68, 1], [95, 0]]",[8.717614943181818e-05]
layer_5,125,"[[25, [7, 1, 7, 1, 1]], [27, [2, 2, 1, 1, 2]], [29, [9, 4, 2]], [56, 0], [62, 3], [68, 0], [95, 1]]",[9.132442092603728e-05]
layer_5,126,"[[25, [1, 49, 1, 1, 1]], [27, [2, 2, 2, 1, 1]], [29, [8, 3, 3]], [56, 1], [62, 1], [68, 3], [95, 2]]",[1.1694851393188855e-05]
layer_5,127,"[[25, [7, 1, 1, 7, 1]], [27, [1, 2, 2, 1, 2]], [29, [24, 3, 1]], [56, 1], [62, 2], [68, 1], [95, 1]]",[0.00025028825]
layer_5,128,"[[25, [1, 49, 1, 1, 1]], [27, [2, 2, 2, 1, 1]], [29, [8, 3, 3]], [56, 1], [62, 2], [68, 3], [95, 2]]",[1.3266453493918434e-05]
layer_5,129,"[[25, [1, 49, 1, 1, 1]], [27, [2, 2, 2, 1, 1]], [29, [8, 3, 3]], [56, 1], [62, 3], [68, 3], [95, 3]]",[1.2451487036040881e-05]
layer_5,130,"[[25, [1, 49, 1, 1, 1]], [27, [2, 2, 2, 1, 1]], [29, [8, 9, 1]], [56, 1], [62, 3], [68, 3], [95, 3]]",[1.2456592547590119e-05]
layer_5,131,"[[25, [1, 49, 1, 1, 1]], [27, [2, 2, 2, 1, 1]], [29, [8, 3, 3]], [56, 1], [62, 2], [68, 3], [95, 4]]",[4.0526988068812435e-05]
layer_5,132,"[[25, [1, 49, 1, 1, 1]], [27, [2, 2, 2, 1, 1]], [29, [8, 3, 3]], [56, 1], [62, 3], [68, 3], [95, 2]]",[1.2451927810650887e-05]
layer_5,133,"[[25, [1, 49, 1, 1, 1]], [27, [2, 2, 2, 1, 1]], [29, [8, 3, 3]], [56, 1], [62, 2], [68, 1], [95, 4]]",[5.8025597804782436e-05]
layer_5,134,"[[25, [1, 49, 1, 1, 1]], [27, [2, 2, 2, 1, 1]], [29, [8, 3, 3]], [56, 1], [62, 3], [68, 1], [95, 4]]",[5.94779693997646e-05]
layer_5,135,"[[25, [1, 49, 1, 1, 1]], [27, [2, 2, 2, 1, 1]], [29, [8, 3, 3]], [56, 1], [62, 0], [68, 3], [95, 4]]",[3.449083789785344e-05]
layer_5,136,"[[25, [1, 49, 1, 1, 1]], [27, [2, 2, 2, 1, 1]], [29, [8, 3, 3]], [56, 1], [62, 0], [68, 2], [95, 4]]",[3.474942219804135e-05]
